,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
206,23035,01,04,09,10,20,33,06
207,23034,02,03,09,11,12,17,15
208,23033,08,09,13,23,24,26,05
209,23032,06,19,20,26,28,33,01
210,23031,07,14,27,29,31,33,05
211,23030,02,03,07,16,30,31,06
212,23029,03,07,12,24,28,33,08
213,23028,05,07,10,17,20,22,14
214,23027,08,10,22,27,32,33,08
215,23026,01,18,26,30,31,33,03
216,23025,04,16,20,21,31,32,14
217,23024,03,06,09,17,27,28,03
218,23023,05,08,10,15,24,25,09
219,23022,10,11,18,19,23,31,03
220,23021,02,05,06,19,21,27,04
221,23020,01,12,17,18,26,27,05
222,23019,06,12,26,28,29,32,15
223,23018,10,12,17,19,25,31,13
224,23017,05,11,18,20,26,28,12
225,23016,14,16,19,23,28,30,03
226,23015,02,03,14,21,29,32,08
227,23014,06,07,18,23,27,30,05
228,23013,06,10,14,22,23,33,13
229,23012,03,04,07,22,26,30,06
230,23011,06,07,16,17,21,22,04
231,23010,04,05,13,18,27,29,12
232,23009,03,04,19,23,30,32,06
233,23008,05,13,18,20,26,28,06
234,23007,05,06,09,22,25,31,03
235,23006,02,10,12,14,24,26,05
236,23005,02,06,08,13,14,19,16
237,23004,01,07,15,16,20,25,16
238,23003,05,08,18,25,30,32,06
239,23002,02,06,10,16,18,22,13
240,23001,09,16,18,22,28,32,02
241,22150,01,07,11,12,22,28,05
242,22149,02,22,26,29,32,33,14
243,22148,02,15,16,17,21,31,14
244,22147,02,03,07,13,20,30,10
245,22146,06,07,13,18,26,31,06
246,22145,03,21,25,30,31,33,11
247,22144,07,20,22,23,31,32,05
248,22143,07,08,13,29,30,33,03
249,22142,01,03,13,16,21,27,03
250,22141,05,12,13,17,20,27,14
251,22140,08,09,18,19,20,27,15
252,22139,06,07,09,16,17,19,14
253,22138,02,14,19,21,25,28,11
254,22137,08,21,23,27,28,33,01
255,22136,08,10,14,15,18,22,08
256,22135,09,11,13,24,28,32,06
257,22134,01,05,14,17,24,31,14
258,22133,05,08,16,17,21,25,12
259,22132,01,03,18,26,32,33,04
260,22131,03,05,10,13,19,29,06
261,22130,02,08,15,17,26,28,12
262,22129,10,12,14,22,24,27,07
263,22128,03,12,18,24,27,29,01
264,22127,03,04,09,10,29,33,13
265,22126,01,13,15,17,26,33,13
266,22125,02,03,07,12,20,31,16
267,22124,05,10,13,18,24,26,01
268,22123,10,13,16,20,21,25,05
269,22122,06,08,17,19,24,28,05
270,22121,12,17,22,27,30,31,02
271,22120,02,15,19,26,27,29,02
272,22119,02,05,15,18,26,27,04
273,22118,02,06,07,11,14,33,08
274,22117,04,13,17,18,28,29,06
275,22116,08,14,26,27,30,33,01
276,22115,06,07,18,20,27,29,09
277,22114,01,05,15,19,26,29,13
278,22113,13,14,20,24,27,29,02
279,22112,03,05,08,17,25,31,01
280,22111,02,10,11,13,28,31,01
281,22110,09,13,15,18,20,28,15
282,22109,04,11,13,19,22,33,11
283,22108,01,07,13,17,18,31,15
284,22107,03,09,11,15,19,28,16
285,22106,17,20,22,23,24,31,01
286,22105,06,12,13,15,21,23,15
287,22104,01,08,19,25,26,31,01
288,22103,06,09,12,14,20,28,10
289,22102,09,10,12,18,29,32,14
290,22101,04,16,18,19,27,28,04
291,22100,02,06,07,15,20,21,15
292,22099,01,11,23,24,26,32,15
293,22098,02,03,04,06,21,33,05
294,22097,04,05,10,13,30,31,14
295,22096,03,16,17,19,25,33,07
296,22095,04,13,14,18,20,28,08
297,22094,06,11,13,16,19,31,02
298,22093,21,22,24,28,29,32,14
299,22092,07,10,16,20,21,27,11
300,22091,08,18,20,22,24,28,10
301,22090,01,04,25,27,29,30,07
302,22089,02,07,15,29,31,33,15
303,22088,03,09,15,17,20,22,06
304,22087,05,06,09,13,23,25,08
305,22086,01,04,08,21,23,24,11
306,22085,07,09,14,31,32,33,13
307,22084,03,18,23,24,25,32,09
308,22083,08,12,13,14,19,20,05
309,22082,04,10,11,23,30,32,14
310,22081,04,08,11,21,27,30,01
311,22080,05,12,15,17,18,27,04
312,22079,01,09,15,17,22,23,16
313,22078,01,04,05,15,17,31,09
314,22077,03,17,18,19,20,27,16
315,22076,08,09,10,13,24,29,02
316,22075,01,02,04,25,26,30,10
317,22074,05,07,15,19,29,33,15
318,22073,06,10,14,15,26,29,12
319,22072,05,14,15,16,18,32,12
320,22071,04,07,15,18,29,33,01
321,22070,04,06,09,27,28,33,02
322,22069,06,07,13,19,26,29,08
323,22068,07,12,15,24,26,29,06
324,22067,01,05,13,21,26,29,15
325,22066,06,11,14,20,27,30,09
326,22065,09,14,18,23,28,31,02
327,22064,04,06,12,13,17,31,16
328,22063,06,08,09,17,22,31,11
329,22062,16,18,20,21,23,33,05
330,22061,01,03,16,18,29,33,06
331,22060,16,18,19,24,28,32,01
332,22059,06,09,18,19,29,33,06
333,22058,06,13,14,23,31,33,01
334,22057,12,15,20,26,30,33,16
335,22056,01,06,11,14,17,26,15
336,22055,02,04,09,26,28,33,03
337,22054,08,12,21,27,28,33,11
338,22053,10,14,18,23,27,33,15
339,22052,07,24,27,29,31,32,15
340,22051,02,05,11,17,21,33,01
341,22050,03,05,08,14,27,33,08
342,22049,02,04,07,18,25,26,10
343,22048,05,07,17,20,26,31,14
344,22047,03,07,08,14,27,30,09
345,22046,02,11,24,25,27,30,14
346,22045,03,12,17,18,19,28,04
347,22044,01,07,08,21,23,29,06
348,22043,02,17,20,23,25,27,08
349,22042,05,10,11,21,22,30,13
350,22041,05,07,21,22,24,29,14
351,22040,03,12,14,16,31,33,12
352,22039,02,06,07,10,15,20,05
353,22038,09,12,13,16,24,32,04
354,22037,01,10,13,20,22,32,14
355,22036,02,03,14,16,26,31,02
356,22035,08,12,13,19,23,25,15
357,22034,14,17,26,31,32,33,10
358,22033,05,12,19,22,25,26,05
359,22032,04,10,11,14,23,32,07
360,22031,01,10,11,22,26,32,07
361,22030,12,23,24,26,27,30,05
362,22029,03,08,10,13,26,32,08
363,22028,05,11,20,22,23,29,09
364,22027,14,15,18,19,26,32,09
365,22026,03,04,10,15,22,24,02
366,22025,06,19,24,25,28,32,04
367,22024,07,09,10,14,19,24,15
368,22023,07,12,17,19,24,25,02
369,22022,01,07,11,15,17,19,06
370,22021,03,07,22,24,26,31,14
371,22020,09,11,14,22,30,32,01
372,22019,05,06,14,20,21,25,08
373,22018,07,11,16,17,30,32,16
374,22017,06,09,24,29,30,32,07
375,22016,05,10,19,20,29,31,14
376,22015,06,14,16,27,28,31,07
377,22014,06,07,13,14,15,27,04
378,22013,02,03,04,07,10,18,15
379,22012,04,07,08,29,30,31,01
380,22011,06,15,23,24,25,33,15
381,22010,12,18,19,20,21,32,15
382,22009,04,15,17,19,25,28,16
383,22008,02,03,07,09,20,21,13
384,22007,01,20,22,23,25,28,16
385,22006,03,06,09,15,22,31,02
386,22005,07,10,12,16,19,31,16
387,22004,05,19,24,28,30,32,14
388,22003,02,05,16,17,18,30,06
389,22002,02,12,21,23,25,31,08
390,22001,06,13,15,17,20,21,03
391,21150,09,14,20,21,24,26,04
392,21149,05,10,15,18,19,32,05
393,21148,10,12,15,17,19,20,08
394,21147,05,10,11,13,27,28,09
395,21146,07,09,21,22,26,32,03
396,21145,04,07,10,14,16,26,09
397,21144,02,05,13,15,23,26,07
398,21143,01,09,11,13,20,29,09
399,21142,04,07,17,19,20,24,16
400,21141,01,14,19,23,26,30,10
401,21140,05,10,16,26,27,33,01
402,21139,12,14,19,23,24,27,01
403,21138,11,14,15,16,27,32,09
404,21137,03,07,10,14,21,24,01
405,21136,02,06,09,15,19,28,16
406,21135,03,10,17,19,21,31,04
407,21134,01,02,16,19,25,31,08
408,21133,01,03,12,19,27,31,10
409,21132,01,04,06,14,20,28,08
410,21131,08,11,18,19,20,24,01
411,21130,08,09,15,24,26,30,06
412,21129,04,15,21,27,28,29,10
413,21128,05,17,20,21,23,33,04
414,21127,07,15,16,20,27,29,07
415,21126,19,20,23,27,28,31,01
416,21125,14,19,20,23,24,31,09
417,21124,01,03,18,22,29,32,02
418,21123,06,14,15,19,29,31,05
419,21122,04,05,12,15,18,28,07
420,21121,04,05,12,16,22,30,15
421,21120,01,07,08,12,13,18,05
422,21119,03,09,10,11,28,29,13
423,21118,02,06,14,18,20,31,13
424,21117,03,05,17,21,27,33,04
425,21116,06,14,17,18,31,33,06
426,21115,02,10,12,15,24,27,08
427,21114,04,06,08,14,24,27,02
428,21113,04,07,10,22,27,30,02
429,21112,05,06,21,25,28,33,07
430,21111,17,20,22,23,26,28,06
431,21110,10,13,15,24,31,32,02
432,21109,02,03,10,17,20,26,16
433,21108,11,15,18,24,26,32,09
434,21107,02,03,17,19,25,30,01
435,21106,01,04,07,14,30,31,03
436,21105,10,14,15,22,27,32,09
437,21104,01,07,17,20,22,28,15
438,21103,10,13,15,25,29,30,15
439,21102,05,09,15,24,27,30,09
440,21101,02,04,12,22,29,31,01
441,21100,07,09,12,13,14,29,16
442,21099,09,11,17,18,20,27,15
443,21098,01,10,13,18,26,32,05
444,21097,03,11,12,13,25,28,12
445,21096,01,07,11,14,15,26,11
446,21095,08,12,17,24,27,28,13
447,21094,09,11,24,25,28,33,15
448,21093,05,11,15,23,28,33,03
449,21092,02,07,08,10,12,31,03
450,21091,04,06,16,24,26,33,16
451,21090,05,06,12,14,27,28,08
452,21089,01,02,07,13,23,24,12
453,21088,04,12,15,16,19,26,06
454,21087,02,13,16,19,23,24,04
455,21086,06,08,10,14,28,29,01
456,21085,05,06,07,11,14,20,02
457,21084,05,07,09,11,21,28,01
458,21083,04,09,11,25,28,33,04
459,21082,03,06,11,13,26,32,05
460,21081,01,03,05,18,22,23,01
461,21080,05,08,22,23,24,29,09
462,21079,01,03,10,24,28,29,13
463,21078,04,06,15,26,27,31,12
464,21077,08,15,17,25,27,30,10
465,21076,03,09,21,23,30,32,06
466,21075,12,15,16,21,22,29,01
467,21074,04,05,09,14,25,27,07
468,21073,01,06,18,22,24,25,08
469,21072,01,09,15,16,19,21,15
470,21071,01,07,24,31,32,33,08
471,21070,01,05,11,15,16,29,15
472,21069,06,11,18,20,23,26,05
473,21068,04,14,18,24,31,32,15
474,21067,01,11,19,23,25,29,09
475,21066,02,06,19,26,30,33,15
476,21065,01,04,08,19,29,33,16
477,21064,04,06,08,15,16,18,16
478,21063,04,05,06,09,23,24,09
479,21062,12,13,15,20,22,25,10
480,21061,04,09,12,18,20,23,01
481,21060,10,11,17,20,29,30,15
482,21059,01,09,11,18,32,33,14
483,21058,09,11,13,18,19,28,14
484,21057,05,06,09,17,25,33,16
485,21056,08,21,22,23,29,32,01
486,21055,03,11,12,16,22,28,10
487,21054,07,13,21,22,24,31,02
488,21053,07,10,14,16,24,33,16
489,21052,03,04,06,19,21,30,14
490,21051,08,09,10,19,27,29,15
491,21050,02,09,10,16,25,28,08
492,21049,04,11,13,22,25,32,01
493,21048,04,15,17,22,29,32,03
494,21047,03,07,13,16,24,29,01
495,21046,05,09,13,21,28,33,06
496,21045,01,04,14,15,17,32,02
497,21044,05,07,14,17,26,28,13
498,21043,02,03,17,18,23,24,01
499,21042,05,09,10,22,25,27,08
500,21041,02,09,18,23,26,32,14
501,21040,02,06,07,24,28,29,16
502,21039,02,08,21,24,29,31,13
503,21038,05,07,09,16,18,27,06
504,21037,13,17,19,24,26,30,12
505,21036,01,02,06,11,21,26,11
506,21035,12,14,18,20,26,28,11
507,21034,04,10,12,18,23,25,01
508,21033,02,12,13,14,31,33,06
509,21032,01,05,08,15,16,30,03
510,21031,06,11,21,25,28,31,07
511,21030,08,09,13,27,29,31,05
512,21029,08,10,15,17,22,30,12
513,21028,11,16,23,26,27,33,05
514,21027,05,07,09,16,20,26,08
515,21026,03,05,13,19,20,25,03
516,21025,06,08,14,17,18,30,11
517,21024,01,04,06,10,11,18,02
518,21023,02,21,22,23,27,28,11
519,21022,10,15,17,25,31,32,06
520,21021,04,08,17,24,28,33,13
521,21020,01,03,06,07,09,11,02
522,21019,12,16,17,24,28,29,08
523,21018,02,08,14,23,25,32,06
524,21017,09,15,18,29,32,33,02
525,21016,03,08,09,13,15,18,10
526,21015,06,14,16,26,28,29,07
527,21014,04,15,21,25,29,33,06
528,21013,06,09,12,16,27,31,06
529,21012,03,06,14,18,20,26,01
530,21011,05,10,16,23,27,33,14
531,21010,01,04,11,19,32,33,05
532,21009,02,04,07,24,25,32,13
533,21008,01,05,07,14,18,33,07
534,21007,02,04,12,21,25,32,16
535,21006,06,08,22,24,25,26,01
536,21005,07,09,14,26,30,31,04
537,21004,02,03,07,08,17,22,15
538,21003,06,09,16,18,22,29,11
539,21002,06,10,13,25,26,32,11
540,21001,02,03,13,18,20,31,11
541,20134,02,09,10,20,22,26,01
542,20133,03,19,22,23,27,29,07
543,20132,01,04,11,12,14,23,04
544,20131,08,19,22,26,27,30,07
545,20130,08,09,11,14,17,29,16
546,20129,01,02,05,15,28,33,04
547,20128,08,10,15,16,23,26,10
548,20127,01,04,18,19,26,31,07
549,20126,03,07,12,14,23,28,11
550,20125,05,12,16,26,30,31,13
551,20124,16,18,19,20,29,33,12
552,20123,01,03,18,19,26,29,03
553,20122,12,15,17,24,26,31,15
554,20121,02,04,06,21,25,29,03
555,20120,01,02,03,04,09,10,12
556,20119,01,09,22,28,32,33,15
557,20118,11,13,19,26,30,33,05
558,20117,07,08,09,10,16,27,07
559,20116,05,06,14,16,19,27,10
560,20115,01,04,12,20,25,32,02
561,20114,01,05,11,24,30,32,03
562,20113,01,03,07,10,22,32,11
563,20112,02,09,12,17,28,32,05
564,20111,06,09,17,22,24,26,16
565,20110,02,06,09,14,22,25,04
566,20109,06,13,16,20,23,32,13
567,20108,10,12,15,17,23,32,05
568,20107,03,09,11,24,25,28,16
569,20106,02,04,11,15,18,28,10
570,20105,06,14,19,20,22,24,01
571,20104,04,08,10,16,27,29,09
572,20103,04,09,10,22,28,32,08
573,20102,09,10,19,25,26,29,08
574,20101,10,17,24,25,28,30,15
575,20100,01,07,15,16,20,23,07
576,20099,05,06,11,12,15,30,12
577,20098,06,08,11,22,25,33,02
578,20097,02,08,21,25,26,30,10
579,20096,01,20,23,26,27,32,15
580,20095,03,09,16,17,20,26,02
581,20094,10,15,17,27,29,31,08
582,20093,04,05,10,13,15,19,15
583,20092,01,06,12,18,22,24,03
584,20091,01,09,11,12,16,19,16
585,20090,02,21,23,26,31,32,06
586,20089,02,14,16,21,29,30,10
587,20088,01,06,12,26,29,30,12
588,20087,11,15,20,23,25,33,10
589,20086,02,04,06,15,24,27,06
590,20085,01,02,05,09,19,24,16
591,20084,03,07,16,17,23,30,07
592,20083,01,19,25,26,30,31,12
593,20082,02,08,11,17,21,30,09
594,20081,01,05,13,14,27,33,15
595,20080,14,15,18,22,31,33,01
596,20079,05,12,20,21,22,29,14
597,20078,03,11,14,16,21,32,04
598,20077,03,10,16,21,25,27,12
599,20076,10,15,16,18,20,27,06
600,20075,03,11,13,20,24,30,16
601,20074,04,08,09,13,19,33,12
602,20073,05,07,11,13,27,29,03
603,20072,06,08,10,15,17,26,04
604,20071,09,11,12,13,22,23,08
605,20070,01,02,04,06,19,21,15
606,20069,03,09,10,13,18,26,04
607,20068,12,16,21,26,27,32,10
608,20067,04,07,09,23,27,30,08
609,20066,02,09,13,17,26,28,07
610,20065,09,15,18,21,23,26,08
611,20064,01,03,07,21,27,32,01
612,20063,12,15,16,22,29,32,14
613,20062,10,14,17,22,26,27,05
614,20061,08,17,24,26,27,31,04
615,20060,05,09,14,20,24,30,08
616,20059,02,04,10,17,22,25,14
617,20058,01,03,11,12,19,26,07
618,20057,09,14,21,23,26,32,03
619,20056,02,05,08,12,26,31,14
620,20055,01,05,07,23,28,30,12
621,20054,03,10,19,25,26,31,02
622,20053,02,14,15,16,32,33,01
623,20052,02,08,13,29,32,33,15
624,20051,03,06,08,11,19,28,08
625,20050,04,09,17,20,32,33,15
626,20049,01,07,09,12,18,22,04
627,20048,12,14,18,23,30,32,02
628,20047,04,10,17,19,28,32,01
629,20046,13,19,25,26,27,32,08
630,20045,02,03,15,21,22,33,16
631,20044,07,08,16,17,19,24,07
632,20043,01,11,24,25,27,30,07
633,20042,02,06,07,11,14,31,03
634,20041,06,07,16,22,24,25,13
635,20040,01,06,12,16,19,21,04
636,20039,02,09,10,11,16,29,02
637,20038,01,06,07,18,23,24,15
638,20037,01,04,11,13,17,24,15
639,20036,07,09,16,22,24,32,06
640,20035,10,14,24,25,28,33,11
641,20034,02,08,15,16,26,32,03
642,20033,07,10,12,21,31,32,01
643,20032,03,11,13,14,15,26,13
644,20031,02,05,09,15,16,27,09
645,20030,17,18,21,29,30,32,03
646,20029,01,12,18,20,30,32,05
647,20028,05,06,15,18,26,32,08
648,20027,12,13,14,24,25,28,06
649,20026,01,04,09,18,19,31,06
650,20025,01,09,10,15,20,29,02
651,20024,10,13,27,28,29,31,08
652,20023,04,05,20,21,30,33,08
653,20022,02,10,20,22,25,30,02
654,20021,02,06,14,16,27,31,07
655,20020,01,06,09,13,15,22,14
656,20019,15,19,27,28,30,33,03
657,20018,05,07,08,11,17,22,13
658,20017,02,04,07,15,20,27,04
659,20016,05,06,08,17,24,27,07
660,20015,08,09,22,24,30,33,01
661,20014,02,07,08,10,12,16,07
662,20013,02,08,10,20,21,30,14
663,20012,04,13,14,23,26,31,09
664,20011,04,05,07,17,18,29,01
665,20010,11,14,22,27,31,32,09
666,20009,03,06,08,14,19,26,12
667,20008,01,04,06,10,11,28,16
668,20007,05,12,17,20,25,31,10
669,20006,03,04,05,10,16,32,09
670,20005,11,16,17,22,26,32,04
671,20004,02,15,17,27,32,33,03
672,20003,09,17,26,29,30,32,03
673,20002,04,09,14,15,16,29,11
674,20001,02,15,23,26,29,30,02
675,19151,02,06,09,18,24,26,14
676,19150,02,09,14,22,27,29,02
677,19149,01,06,27,28,31,33,07
678,19148,09,10,13,20,26,27,08
679,19147,01,09,12,14,23,27,12
680,19146,01,04,10,12,30,32,14
681,19145,01,08,13,17,18,19,16
682,19144,02,12,15,19,27,30,03
683,19143,05,13,15,16,26,32,09
684,19142,08,14,24,27,29,33,09
685,19141,10,13,14,15,17,33,14
686,19140,02,04,09,11,14,22,05
687,19139,08,14,20,23,30,33,11
688,19138,02,06,12,30,31,32,11
689,19137,07,10,13,19,23,31,06
690,19136,12,14,15,17,29,33,12
691,19135,03,06,10,11,27,33,03
692,19134,01,04,06,22,29,30,03
693,19133,03,07,16,21,24,31,07
694,19132,04,06,11,14,19,33,07
695,19131,09,17,19,20,24,31,04
696,19130,01,07,09,11,24,32,16
697,19129,03,04,07,09,15,26,07
698,19128,03,08,12,16,17,19,08
699,19127,02,06,07,12,17,24,10
700,19126,02,14,17,29,32,33,16
701,19125,02,11,12,26,27,29,03
702,19124,04,09,30,31,32,33,01
703,19123,02,06,08,17,28,30,06
704,19122,04,10,15,19,21,23,02
705,19121,02,06,15,21,30,31,02
706,19120,10,12,27,31,32,33,03
707,19119,04,20,22,24,26,33,07
708,19118,12,14,15,25,28,31,04
709,19117,03,05,11,28,32,33,01
710,19116,01,08,09,13,16,33,01
711,19115,04,10,11,14,15,29,05
712,19114,02,04,09,11,12,30,01
713,19113,01,05,19,21,25,33,15
714,19112,03,12,14,17,23,27,01
715,19111,07,18,20,22,24,33,01
716,19110,01,18,22,26,27,28,08
717,19109,03,06,07,17,28,31,10
718,19108,07,13,19,22,25,32,13
719,19107,02,06,08,23,27,32,02
720,19106,02,14,22,27,30,33,14
721,19105,02,13,15,17,26,33,01
722,19104,01,05,16,17,18,24,10
723,19103,04,12,14,21,27,29,12
724,19102,03,08,12,16,20,32,12
725,19101,01,04,09,21,31,33,05
726,19100,01,04,12,13,30,32,08
727,19099,07,14,22,23,27,30,08
728,19098,03,11,12,14,17,26,09
729,19097,03,05,18,24,25,31,09
730,19096,05,07,12,18,27,32,11
731,19095,02,05,14,19,21,28,01
